Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
SliceExtView,32.5,1783386952457477.8,1783386960034153.5,N/A,7576675.55,N/A,3830.37109375,3832.0,3830.37109375,3830.44140625,13944.0,3830.44140625,187651285076064,NPU:0
SliceExtView,32.5,1783386952457760.5,1783386960034210.8,N/A,7576450.1,N/A,3830.40283203125,3832.0,3830.40283203125,3830.34619140625,13944.0,3830.34619140625,187651285076064,NPU:0
SliceExtView,32.5,1783386952457859.5,1783386960034171.2,N/A,7576311.88,N/A,3830.4345703125,3832.0,3830.4345703125,3830.40966796875,13944.0,3830.40966796875,187651285076064,NPU:0
SliceExtView,32.5,1783386952457946.2,1783386960034194.8,N/A,7576248.49,N/A,3830.46630859375,3832.0,3830.46630859375,3830.3779296875,13944.0,3830.3779296875,187651285076064,NPU:0
Arange,8.5,1783386952458116.2,1783386952470648.5,N/A,12532.29,N/A,3830.474609375,3832.0,3830.474609375,3838.48291015625,3840.0,3838.48291015625,187651285076064,NPU:0
Arange,16.5,1783386952465485.2,1783386952470667.0,N/A,5181.82,N/A,3830.49072265625,3832.0,3830.49072265625,3838.466796875,3840.0,3838.466796875,187651285076064,NPU:0
Reshape,8192.5,1783386952466417.5,1783386952481685.8,N/A,15268.16,N/A,3838.4912109375,3840.0,3838.4912109375,3838.466796875,3848.0,3838.466796875,187651285076064,NPU:0
Greater,8192.5,1783386952471139.0,1783386955956955.2,N/A,3485816.09,N/A,3846.46728515625,3848.0,3846.46728515625,6016.087890625,13942.0,6016.087890625,187651285076064,NPU:0
BroadcastTo,0.5,1783386952483012.0,1783386952512723.2,N/A,29711.03,N/A,3838.46728515625,3848.0,3838.46728515625,3838.47119140625,3848.0,3838.47119140625,187651285076064,NPU:0
BroadcastTo,4.5,1783386952483029.5,1783386952548379.2,N/A,65349.88,N/A,3838.4716796875,3848.0,3838.4716796875,3838.48291015625,3848.0,3838.48291015625,187651285076064,NPU:0
BroadcastTo,17.0,1783386952512689.2,1783386952512712.2,N/A,23.17,N/A,3838.48828125,3848.0,3838.48828125,3838.4716796875,3848.0,3838.4716796875,187651285076064,NPU:0
NotEqual,16.5,1783386952512738.0,1783386952552300.2,N/A,39562.25,N/A,3838.4873046875,3848.0,3838.4873046875,3838.48291015625,3848.0,3838.48291015625,187651285076064,NPU:0
Cast,16.5,1783386952548398.0,1783386955036309.0,N/A,2487910.82,N/A,3838.4990234375,3848.0,3838.4990234375,8377.1435546875,11922.0,8377.1435546875,187651285076064,NPU:0
Cast,33.5,1783386952552273.0,1783386952552291.2,N/A,18.37,N/A,3838.53173828125,3848.0,3838.53173828125,3838.4990234375,3848.0,3838.4990234375,187651285076064,NPU:0
Empty,7.5,1783386952554983.0,1783386953723669.2,N/A,1168686.33,N/A,3838.490234375,3848.0,3838.490234375,4267.46337890625,4926.0,4267.46337890625,187651285076064,NPU:0
Empty,10752.5,1783386952624474.0,1783386953723689.5,N/A,1099215.69,N/A,3848.99072265625,3858.0,3848.99072265625,4256.962890625,4926.0,4256.962890625,187651285076064,NPU:0
Empty,6.5,1783386952625072.8,1783386953723707.0,N/A,1098634.21,N/A,3848.9970703125,3858.0,3848.9970703125,4256.95654296875,4926.0,4256.95654296875,187651285076064,NPU:0
Empty,9216.5,1783386952625828.0,1783386953723721.2,N/A,1097893.29,N/A,3857.99755859375,3866.0,3857.99755859375,4247.9560546875,4926.0,4247.9560546875,187651285076064,NPU:0
Empty,14784.5,1783386952626866.0,1783386953723735.5,N/A,1096869.59,N/A,3872.435546875,3882.0,3872.435546875,4233.51806640625,4926.0,4233.51806640625,187651285076064,NPU:0
Empty,2.5,1783386952627285.8,1783386953723749.8,N/A,1096463.98,N/A,3872.43798828125,3882.0,3872.43798828125,4233.515625,4926.0,4233.515625,187651285076064,NPU:0
Empty,5120.5,1783386952627660.5,1783386953723764.0,N/A,1096103.47,N/A,3877.4384765625,3882.0,3877.4384765625,4228.51513671875,4926.0,4228.51513671875,187651285076064,NPU:0
Empty,7.5,1783386952628031.8,1783386953723777.8,N/A,1095745.87,N/A,3877.44580078125,3882.0,3877.44580078125,4228.5078125,4926.0,4228.5078125,187651285076064,NPU:0
Empty,43008.5,1783386952630332.8,1783386953723790.8,N/A,1093458.02,N/A,3919.4462890625,3924.0,3919.4462890625,4186.50732421875,4926.0,4186.50732421875,187651285076064,NPU:0
Empty,21504.5,1783386952688553.0,1783386953723804.5,N/A,1035251.34,N/A,3940.44677734375,3944.0,3940.44677734375,4165.5068359375,4926.0,4165.5068359375,187651285076064,NPU:0
Empty,904960.5,1783386952729861.0,1783386952749458.8,N/A,19597.79,N/A,4824.197265625,4828.0,4824.197265625,3982.44775390625,4926.0,3982.44775390625,187651285076064,NPU:0
Copy,16.5,1783386952731291.0,1783386952738215.8,N/A,6924.75,N/A,4824.21337890625,4828.0,4824.21337890625,4852.19775390625,4856.0,4852.19775390625,187651285076064,NPU:0
Tile,28672.5,1783386952733043.0,1783386955966315.5,N/A,3233272.39,N/A,4852.2138671875,4856.0,4852.2138671875,6534.83642578125,13942.0,6534.83642578125,187651285076064,NPU:0
Tile,28672.5,1783386952739506.5,1783386952748266.2,N/A,8759.86,N/A,4880.1982421875,4884.0,4880.1982421875,4866.1982421875,4926.0,4866.1982421875,187651285076064,NPU:0
Tile,16385.0,1783386952744358.5,1783386952744375.0,N/A,16.65,N/A,4896.19921875,4900.0,4896.19921875,4880.1982421875,4900.0,4880.1982421875,187651285076064,NPU:0
