Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
SliceExtView,32.5,1783428115402200.8,1783428124027542.5,N/A,8625341.73,N/A,5198.533203125,5200.0,5198.533203125,5198.60546875,21578.0,5198.60546875,187651158441296,NPU:1
SliceExtView,32.5,1783428115402771.0,1783428124027613.5,N/A,8624842.48,N/A,5198.56494140625,5200.0,5198.56494140625,5198.51025390625,21578.0,5198.51025390625,187651158441296,NPU:1
SliceExtView,32.5,1783428115403049.0,1783428124027584.0,N/A,8624534.99,N/A,5198.5966796875,5200.0,5198.5966796875,5198.57373046875,21578.0,5198.57373046875,187651158441296,NPU:1
SliceExtView,32.5,1783428115403215.5,1783428124027604.2,N/A,8624388.8,N/A,5198.62841796875,5200.0,5198.62841796875,5198.5419921875,21578.0,5198.5419921875,187651158441296,NPU:1
Arange,8.5,1783428115403483.5,1783428115425076.5,N/A,21593.06,N/A,5198.63671875,5200.0,5198.63671875,5206.64501953125,5208.0,5206.64501953125,187651158441296,NPU:1
Arange,16.5,1783428115418555.8,1783428115425086.5,N/A,6530.77,N/A,5198.65283203125,5200.0,5198.65283203125,5206.62890625,5208.0,5206.62890625,187651158441296,NPU:1
Reshape,8192.5,1783428115419411.5,1783428115439259.2,N/A,19847.63,N/A,5206.6533203125,5208.0,5206.6533203125,5206.62890625,5216.0,5206.62890625,187651158441296,NPU:1
Greater,8192.5,1783428115425505.8,1783428119540466.0,N/A,4114960.24,N/A,5214.62939453125,5216.0,5214.62939453125,7987.181640625,21576.0,7987.181640625,187651158441296,NPU:1
BroadcastTo,0.5,1783428115441523.8,1783428115472366.5,N/A,30842.61,N/A,5206.62939453125,5216.0,5206.62939453125,5206.63330078125,5216.0,5206.63330078125,187651158441296,NPU:1
BroadcastTo,4.5,1783428115441543.2,1783428115515904.8,N/A,74361.56,N/A,5206.6337890625,5216.0,5206.6337890625,5206.64501953125,5216.0,5206.64501953125,187651158441296,NPU:1
BroadcastTo,17.0,1783428115472319.8,1783428115472350.8,N/A,30.94,N/A,5206.650390625,5216.0,5206.650390625,5206.6337890625,5216.0,5206.6337890625,187651158441296,NPU:1
NotEqual,16.5,1783428115472389.2,1783428115520907.5,N/A,48518.25,N/A,5206.6494140625,5216.0,5206.6494140625,5206.64501953125,5216.0,5206.64501953125,187651158441296,NPU:1
Cast,16.5,1783428115515934.8,1783428118892345.0,N/A,3376410.35,N/A,5206.6611328125,5216.0,5206.6611328125,16063.31982421875,19556.0,16063.31982421875,187651158441296,NPU:1
Cast,33.5,1783428115520825.2,1783428115520877.8,N/A,52.57,N/A,5206.69384765625,5216.0,5206.69384765625,5206.6611328125,5216.0,5206.6611328125,187651158441296,NPU:1
Empty,7.5,1783428115524351.2,1783428116700477.0,N/A,1176125.67,N/A,5206.65234375,5216.0,5206.65234375,6071.67578125,6294.0,6071.67578125,187651158441296,NPU:1
Empty,10752.5,1783428115530381.2,1783428116700499.0,N/A,1170117.53,N/A,5217.15283203125,5226.0,5217.15283203125,6061.17529296875,6294.0,6061.17529296875,187651158441296,NPU:1
Empty,6.5,1783428115530952.5,1783428116700518.2,N/A,1169565.81,N/A,5217.1591796875,5226.0,5217.1591796875,6061.1689453125,6294.0,6061.1689453125,187651158441296,NPU:1
Empty,9216.5,1783428115531977.2,1783428116700534.8,N/A,1168557.42,N/A,5226.15966796875,5236.0,5226.15966796875,6052.16845703125,6294.0,6052.16845703125,187651158441296,NPU:1
Empty,14784.5,1783428115533143.2,1783428116700552.2,N/A,1167408.92,N/A,5240.59765625,5250.0,5240.59765625,6037.73046875,6294.0,6037.73046875,187651158441296,NPU:1
Empty,2.5,1783428115533591.5,1783428116700568.0,N/A,1166976.52,N/A,5240.60009765625,5250.0,5240.60009765625,6037.72802734375,6294.0,6037.72802734375,187651158441296,NPU:1
Empty,5120.5,1783428115534016.2,1783428116700583.0,N/A,1166566.78,N/A,5245.6005859375,5250.0,5245.6005859375,6032.7275390625,6294.0,6032.7275390625,187651158441296,NPU:1
Empty,7.5,1783428115534424.5,1783428116700597.5,N/A,1166172.98,N/A,5245.60791015625,5250.0,5245.60791015625,6032.72021484375,6294.0,6032.72021484375,187651158441296,NPU:1
