Component,Timestamp(us),Total Allocated(MB),Total Reserved(MB),Total Active(MB),Device Type
MindSpore,1783301382365513.98,5804.501,6447.104,5804.501,NPU:0
MindSpore+GE,1783301382365513.98,5804.501,6447.104,5804.501,NPU:0
MindSpore,1783301382365547.66,5804.5015,6447.104,5804.5015,NPU:0
MindSpore+GE,1783301382365547.66,5804.5015,6447.104,5804.5015,NPU:0
MindSpore,1783301382365562.44,5804.504,6447.104,5804.504,NPU:0
MindSpore+GE,1783301382365562.44,5804.504,6447.104,5804.504,NPU:0
MindSpore,1783301382371570.48,5804.5035,6447.104,5804.5035,NPU:0
MindSpore+GE,1783301382371570.48,5804.5035,6447.104,5804.5035,NPU:0
MindSpore,1783301382371592.94,5804.512,6447.104,5804.512,NPU:0
MindSpore+GE,1783301382371592.94,5804.512,6447.104,5804.512,NPU:0
MindSpore,1783301382383699.43,5804.5095,6447.104,5804.5095,NPU:0
MindSpore+GE,1783301382383699.43,5804.5095,6447.104,5804.5095,NPU:0
MindSpore,1783301382384193.65,5804.518,6447.104,5804.518,NPU:0
MindSpore+GE,1783301382384193.65,5804.518,6447.104,5804.518,NPU:0
MindSpore,1783301382384209.31,5804.5265,6447.104,5804.5265,NPU:0
MindSpore+GE,1783301382384209.31,5804.5265,6447.104,5804.5265,NPU:0
MindSpore,1783301382389778.46,5804.5355,6447.104,5804.5355,NPU:0
MindSpore+GE,1783301382389778.46,5804.5355,6447.104,5804.5355,NPU:0
MindSpore,1783301382389802.62,5804.5265,6447.104,5804.5265,NPU:0
MindSpore+GE,1783301382389802.62,5804.5265,6447.104,5804.5265,NPU:0
MindSpore,1783301382392650.4,5804.535,6447.104,5804.535,NPU:0
MindSpore+GE,1783301382392650.4,5804.535,6447.104,5804.535,NPU:0
MindSpore,1783301382392662.08,5804.5355,6447.104,5804.5355,NPU:0
MindSpore+GE,1783301382392662.08,5804.5355,6447.104,5804.5355,NPU:0
MindSpore,1783301382392671.39,5804.538,6447.104,5804.538,NPU:0
MindSpore+GE,1783301382392671.39,5804.538,6447.104,5804.538,NPU:0
MindSpore,1783301382392841.23,5804.5375,6447.104,5804.5375,NPU:0
MindSpore+GE,1783301382392841.23,5804.5375,6447.104,5804.5375,NPU:0
MindSpore,1783301382392851.63,5804.542,6447.104,5804.542,NPU:0
MindSpore+GE,1783301382392851.63,5804.542,6447.104,5804.542,NPU:0
MindSpore,1783301382393328.96,5804.5395,6447.104,5804.5395,NPU:0
MindSpore+GE,1783301382393328.96,5804.5395,6447.104,5804.5395,NPU:0
