Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
Narrow,8.5,1783301382365521.5,1783301392542510.2,N/A,10176988.7,N/A,5668.4580078125,6296.0,5668.4580078125,5676.5947265625,16096.0,5676.5947265625,187651338699376,NPU:0
Narrow,0.5,1783301382365549.2,1783301382371572.8,N/A,6023.65,N/A,5668.45849609375,6296.0,5668.45849609375,5668.46044921875,6296.0,5668.46044921875,187651338699376,NPU:0
Narrow,2.5,1783301382365563.0,1783301382383701.8,N/A,18138.73,N/A,5668.4609375,6296.0,5668.4609375,5668.46630859375,6296.0,5668.46630859375,187651338699376,NPU:0
NotEqual,8.5,1783301382371594.2,1783301382411693.8,N/A,40099.49,N/A,5668.46875,6296.0,5668.46875,5692.48486328125,6296.0,5692.48486328125,187651338699376,NPU:0
Cast,8.5,1783301382384194.8,1783301392542532.0,N/A,10158337.35,N/A,5668.474609375,6296.0,5668.474609375,5676.58642578125,16096.0,5676.58642578125,187651338699376,NPU:0
Cast,8.5,1783301382384209.8,1783301386438104.5,N/A,4053894.59,N/A,5668.48291015625,6296.0,5668.48291015625,13379.4443359375,15084.0,13379.4443359375,187651338699376,NPU:0
Cast,9.0,1783301382389780.8,1783301382389803.5,N/A,22.67,N/A,5668.49169921875,6296.0,5668.49169921875,5668.48291015625,6296.0,5668.48291015625,187651338699376,NPU:0
Mul,8.5,1783301382392651.0,1783301392542481.2,N/A,10149830.16,N/A,5668.4912109375,6296.0,5668.4912109375,5676.60302734375,16096.0,5676.60302734375,187651338699376,NPU:0
Mul,0.5,1783301382392662.5,1783301382392842.0,N/A,179.57,N/A,5668.49169921875,6296.0,5668.49169921875,5668.49365234375,6296.0,5668.49365234375,187651338699376,NPU:0
Mul,2.5,1783301382392671.8,1783301382393330.0,N/A,658.19,N/A,5668.494140625,6296.0,5668.494140625,5668.49560546875,6296.0,5668.49560546875,187651338699376,NPU:0
NotEqual,4.5,1783301382392852.0,1783301382411667.5,N/A,18815.36,N/A,5668.498046875,6296.0,5668.498046875,5692.4931640625,6296.0,5692.4931640625,187651338699376,NPU:0
ExpandDimsView,8192.5,1783301382406745.0,N/A,N/A,N/A,N/A,5676.49609375,6296.0,5676.49609375,N/A,N/A,N/A,187651338699376,NPU:0
ExpandDimsView,8192.5,1783301382406788.8,1783301382416457.8,N/A,9668.94,N/A,5684.49658203125,6296.0,5684.49658203125,5684.484375,6296.0,5684.484375,187651338699376,NPU:0
Mul,0.5,1783301382411429.2,1783301382416466.8,N/A,5037.33,N/A,5684.4970703125,6296.0,5684.4970703125,5684.48388671875,6296.0,5684.48388671875,187651338699376,NPU:0
Mul,8192.5,1783301382411443.2,1783301382419389.8,N/A,7946.59,N/A,5692.49755859375,6296.0,5692.49755859375,5680.48388671875,6296.0,5680.48388671875,187651338699376,NPU:0
ExpandDimsView,4096.5,1783301382418976.8,1783301386195403.2,N/A,3776426.46,N/A,5688.484375,6296.0,5688.484375,11864.94287109375,12560.0,11864.94287109375,187651338699376,NPU:0
Empty,7.5,1783301382420335.5,1783301382968771.8,N/A,548436.22,N/A,5680.4912109375,6296.0,5680.4912109375,6723.041015625,7180.0,6723.041015625,187651338699376,NPU:0
Empty,0.5,1783301382425309.0,1783301385213405.2,N/A,2788096.44,N/A,5680.49169921875,6296.0,5680.49169921875,7392.05908203125,7570.0,7392.05908203125,187651338699376,NPU:0
Empty,6.5,1783301382425833.2,1783301383278395.5,N/A,852562.3,N/A,5680.498046875,6296.0,5680.498046875,6740.29443359375,7180.0,6740.29443359375,187651338699376,NPU:0
Empty,2.5,1783301382426325.0,1783301383376520.2,N/A,950195.04,N/A,5680.50048828125,6296.0,5680.50048828125,7226.5537109375,7504.0,7226.5537109375,187651338699376,NPU:0
Empty,7.5,1783301382426832.2,1783301385293086.5,N/A,2866254.28,N/A,5680.5078125,6296.0,5680.5078125,7759.5634765625,8098.0,7759.5634765625,187651338699376,NPU:0
Empty,2.5,1783301382427477.8,1783301386837725.2,N/A,4410247.47,N/A,5680.51025390625,6296.0,5680.51025390625,8486.47412109375,16094.0,8486.47412109375,187651338699376,NPU:0
Empty,131072.5,1783301382427922.2,1783301385299575.8,N/A,2871653.27,N/A,5808.5107421875,6296.0,5808.5107421875,7711.0654296875,8098.0,7711.0654296875,187651338699376,NPU:0
Empty,57344.5,1783301382428367.8,1783301385299599.5,N/A,2871231.81,N/A,5864.51123046875,6296.0,5864.51123046875,7655.06494140625,8098.0,7655.06494140625,187651338699376,NPU:0
