Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
ContiguousAllocMem,32.5,1783389624355114.0,1783389636548175.5,N/A,12193061.52,N/A,1669.81640625,2554.0,1669.81640625,5041.4345703125,12598.0,5041.4345703125,187651526933696,NPU:0
ContiguousAllocMem,32.5,1783389624355395.0,1783389636548232.8,N/A,12192837.85,N/A,1669.84814453125,2554.0,1669.84814453125,5041.40283203125,12598.0,5041.40283203125,187651526933696,NPU:0
ContiguousAllocMem,32.5,1783389624355529.8,1783389636548289.2,N/A,12192759.41,N/A,1669.8798828125,2554.0,1669.8798828125,5041.37109375,12598.0,5041.37109375,187651526933696,NPU:0
ContiguousAllocMem,32.5,1783389624355664.8,1783389636548330.5,N/A,12192665.82,N/A,1669.91162109375,2554.0,1669.91162109375,5041.33935546875,12598.0,5041.33935546875,187651526933696,NPU:0
ContiguousAllocMem,0.5,1783389624359080.5,1783389624363351.0,N/A,4270.41,N/A,1669.912109375,2554.0,1669.912109375,1669.919921875,2554.0,1669.919921875,187651526933696,NPU:0
ContiguousAllocMem,8.5,1783389624359104.5,1783389624376117.2,N/A,17012.52,N/A,1669.92041015625,2554.0,1669.92041015625,1669.943359375,2554.0,1669.943359375,187651526933696,NPU:0
NotEqual,32.5,1783389624363369.5,1783389624438003.2,N/A,74633.74,N/A,1669.95166015625,2554.0,1669.95166015625,1829.9453125,2554.0,1829.9453125,187651526933696,NPU:0
Cast,32.5,1783389624376137.8,1783389626138724.8,N/A,1762586.92,N/A,1669.97509765625,2554.0,1669.97509765625,6172.36376953125,6376.0,6172.36376953125,187651526933696,NPU:0
Cast,33.0,1783389624381002.0,1783389624381026.2,N/A,24.26,N/A,1670.00732421875,2554.0,1670.00732421875,1669.97509765625,2554.0,1669.97509765625,187651526933696,NPU:0
Mul,0.5,1783389624381046.8,1783389624384593.0,N/A,3546.17,N/A,1669.9755859375,2554.0,1669.9755859375,1669.9833984375,2554.0,1669.9833984375,187651526933696,NPU:0
Mul,8.5,1783389624381058.0,1783389624385153.0,N/A,4094.95,N/A,1669.98388671875,2554.0,1669.98388671875,1669.9912109375,2554.0,1669.9912109375,187651526933696,NPU:0
NotEqual,16.5,1783389624384601.5,1783389624437989.8,N/A,53388.36,N/A,1669.99951171875,2554.0,1669.99951171875,1829.97705078125,2554.0,1829.97705078125,187651526933696,NPU:0
ExpandDimsView,32768.5,1783389624423895.5,N/A,N/A,N/A,N/A,1701.99169921875,2554.0,1701.99169921875,N/A,N/A,N/A,187651526933696,NPU:0
ExpandDimsView,65536.5,1783389624424013.5,1783389624441520.2,N/A,17506.6,N/A,1765.9921875,2554.0,1765.9921875,1765.94482421875,2554.0,1765.94482421875,187651526933696,NPU:0
Mul,0.5,1783389624437750.0,1783389624441524.8,N/A,3774.89,N/A,1765.99267578125,2554.0,1765.99267578125,1765.9443359375,2554.0,1765.9443359375,187651526933696,NPU:0
Mul,65536.5,1783389624437765.0,1783389624444784.2,N/A,7019.16,N/A,1829.9931640625,2554.0,1829.9931640625,1733.9443359375,2554.0,1733.9443359375,187651526933696,NPU:0
ExpandDimsView,32768.5,1783389624444432.0,1783389630903851.0,N/A,6459419.07,N/A,1797.94482421875,2554.0,1797.94482421875,2841.806640625,6456.0,2841.806640625,187651526933696,NPU:0
Tile,57344.5,1783389624445785.5,1783389630923964.8,N/A,6478179.23,N/A,1789.94482421875,2554.0,1789.94482421875,3371.6875,6790.0,3371.6875,187651526933696,NPU:0
Tile,57344.5,1783389624449804.8,1783389624456333.8,N/A,6529.07,N/A,1845.9453125,2554.0,1845.9453125,1817.9453125,2554.0,1817.9453125,187651526933696,NPU:0
Tile,16385.0,1783389624453883.2,1783389624453905.8,N/A,22.36,N/A,1861.9462890625,2554.0,1861.9462890625,1845.9453125,2554.0,1845.9453125,187651526933696,NPU:0
TransposeExtView,28672.5,1783389624454315.5,1783389626138709.2,N/A,1684393.87,N/A,1873.94580078125,2554.0,1873.94580078125,6144.39501953125,6376.0,6144.39501953125,187651526933696,NPU:0
TransposeExtView,57346.5,1783389624456301.8,1783389624456322.8,N/A,21.03,N/A,1929.9482421875,2554.0,1929.9482421875,1873.94580078125,2554.0,1873.94580078125,187651526933696,NPU:0
Arange,16.5,1783389624458412.8,1783389624464134.2,N/A,5721.45,N/A,1817.96142578125,2554.0,1817.96142578125,1817.96142578125,2554.0,1817.96142578125,187651526933696,NPU:0
AddScalar,16.5,1783389624461277.0,1783389624467240.8,N/A,5963.83,N/A,1817.9775390625,2554.0,1817.9775390625,1819.44677734375,2554.0,1819.44677734375,187651526933696,NPU:0
Reshape,0.5,1783389624466918.5,N/A,N/A,N/A,N/A,1817.9619140625,2554.0,1817.9619140625,N/A,N/A,N/A,187651526933696,NPU:0
Reshape,512.5,1783389624466929.8,1783389624496668.0,N/A,29738.31,N/A,1818.46240234375,2554.0,1818.46240234375,1818.9462890625,2554.0,1818.9462890625,187651526933696,NPU:0
Concat,1024.5,1783389624467164.5,1783389626138735.8,N/A,1671571.22,N/A,1819.462890625,2554.0,1819.462890625,6171.36328125,6376.0,6171.36328125,187651526933696,NPU:0
Reshape,57344.5,1783389624499206.0,1783389630907537.5,N/A,6408331.54,N/A,1874.94677734375,2554.0,1874.94677734375,2627.97021484375,6456.0,2627.97021484375,187651526933696,NPU:0
RmsNorm,57344.5,1783389624500053.8,1783389624846840.2,N/A,346786.47,N/A,1930.947265625,2554.0,1930.947265625,1902.97900390625,2554.0,1902.97900390625,187651526933696,NPU:0
RmsNorm,32.5,1783389624500057.5,1783389630907566.0,N/A,6407508.54,N/A,1930.97900390625,2554.0,1930.97900390625,2627.9384765625,6456.0,2627.9384765625,187651526933696,NPU:0
RmsNorm,16384.5,1783389624846087.8,1783389624846137.5,N/A,49.82,N/A,1946.9794921875,2554.0,1946.9794921875,1930.97900390625,2554.0,1930.97900390625,187651526933696,NPU:0
RmsNorm,28672.5,1783389624846183.2,1783389630907316.0,N/A,6061132.77,N/A,1958.9794921875,2554.0,1958.9794921875,2655.9638671875,6456.0,2655.9638671875,187651526933696,NPU:0
Cast,7392.5,1783389624847731.8,1783389630907322.0,N/A,6059590.14,N/A,1910.1982421875,2554.0,1910.1982421875,2648.74462890625,6456.0,2648.74462890625,187651526933696,NPU:0
MatMulExt,33792.5,1783389624848164.5,1783389625299831.8,N/A,451667.37,N/A,1943.19873046875,2554.0,1943.19873046875,2080.26708984375,2554.0,2080.26708984375,187651526933696,NPU:0
MatMulExt,20481.0,1783389624857980.2,1783389624858003.8,N/A,23.36,N/A,1963.19970703125,2554.0,1963.19970703125,1943.19873046875,2554.0,1943.19873046875,187651526933696,NPU:0
