Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
Narrow,16.5,1783413193358728.5,1783413202290842.0,N/A,8932113.35,N/A,5198.517578125,5200.0,5198.517578125,5230.52685546875,19418.0,5230.52685546875,187651667415600,NPU:1
Narrow,0.5,1783413193358750.2,1783413193363301.0,N/A,4550.67,N/A,5198.51806640625,5200.0,5198.51806640625,5198.52197265625,5200.0,5198.52197265625,187651667415600,NPU:1
Narrow,4.5,1783413193358762.5,1783413193375199.0,N/A,16436.41,N/A,5198.5224609375,5200.0,5198.5224609375,5198.53369140625,5200.0,5198.53369140625,187651667415600,NPU:1
NotEqual,16.5,1783413193363328.0,1783413193457797.5,N/A,94469.49,N/A,5198.5380859375,5200.0,5198.5380859375,5294.56787109375,5296.0,5294.56787109375,187651667415600,NPU:1
Cast,16.5,1783413193375807.5,1783413202290847.2,N/A,8915039.92,N/A,5198.5498046875,5200.0,5198.5498046875,5230.5107421875,19418.0,5230.5107421875,187651667415600,NPU:1
Cast,16.5,1783413193375824.8,1783413196698395.0,N/A,3322570.3,N/A,5198.56591796875,5200.0,5198.56591796875,14772.12890625,17396.0,14772.12890625,187651667415600,NPU:1
Cast,17.0,1783413193380389.8,1783413193380409.8,N/A,20.12,N/A,5198.58251953125,5200.0,5198.58251953125,5198.56591796875,5200.0,5198.56591796875,187651667415600,NPU:1
Mul,16.5,1783413193383959.5,1783413202290814.8,N/A,8906855.07,N/A,5198.58203125,5200.0,5198.58203125,5230.54296875,19418.0,5230.54296875,187651667415600,NPU:1
Mul,0.5,1783413193383975.0,1783413193384173.8,N/A,198.86,N/A,5198.58251953125,5200.0,5198.58251953125,5198.58642578125,5200.0,5198.58642578125,187651667415600,NPU:1
Mul,4.5,1783413193383985.8,1783413193384701.2,N/A,715.48,N/A,5198.5869140625,5200.0,5198.5869140625,5198.59033203125,5200.0,5198.59033203125,187651667415600,NPU:1
NotEqual,8.5,1783413193384188.0,1783413193457782.8,N/A,73594.61,N/A,5198.5947265625,5200.0,5198.5947265625,5294.583984375,5296.0,5294.583984375,187651667415600,NPU:1
ExpandDimsView,32768.5,1783413193447333.0,N/A,N/A,N/A,N/A,5230.5908203125,5232.0,5230.5908203125,N/A,N/A,N/A,187651667415600,NPU:1
ExpandDimsView,32768.5,1783413193448932.8,1783413193461708.5,N/A,12775.89,N/A,5262.59130859375,5264.0,5262.59130859375,5262.5673828125,5296.0,5262.5673828125,187651667415600,NPU:1
Mul,0.5,1783413193455422.8,1783413193461713.2,N/A,6290.37,N/A,5262.591796875,5264.0,5262.591796875,5262.56689453125,5296.0,5262.56689453125,187651667415600,NPU:1
