Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
Narrow,16.5,1783474958527825.2,1783474966869441.8,N/A,8341616.44,N/A,5198.517578125,5200.0,5198.517578125,5230.52685546875,20456.0,5230.52685546875,187650989562496,NPU:0
Narrow,0.5,1783474958527854.8,1783474958532278.8,N/A,4424.12,N/A,5198.51806640625,5200.0,5198.51806640625,5198.52197265625,5200.0,5198.52197265625,187650989562496,NPU:0
Narrow,4.5,1783474958527870.2,1783474958543230.2,N/A,15360.04,N/A,5198.5224609375,5200.0,5198.5224609375,5198.53369140625,5200.0,5198.53369140625,187650989562496,NPU:0
NotEqual,16.5,1783474958532303.0,1783474958621154.8,N/A,88851.81,N/A,5198.5380859375,5200.0,5198.5380859375,5294.56787109375,5296.0,5294.56787109375,187650989562496,NPU:0
Cast,16.5,1783474958543933.0,1783474966869457.0,N/A,8325523.94,N/A,5198.5498046875,5200.0,5198.5498046875,5230.5107421875,20456.0,5230.5107421875,187650989562496,NPU:0
Cast,16.5,1783474958543948.8,1783474961725326.5,N/A,3181377.88,N/A,5198.56591796875,5200.0,5198.56591796875,15911.24169921875,18434.0,15911.24169921875,187650989562496,NPU:0
Cast,17.0,1783474958548405.2,1783474958548426.2,N/A,20.94,N/A,5198.58251953125,5200.0,5198.58251953125,5198.56591796875,5200.0,5198.56591796875,187650989562496,NPU:0
Mul,16.5,1783474958551250.0,1783474966869424.8,N/A,8318174.69,N/A,5198.58203125,5200.0,5198.58203125,5230.54296875,20456.0,5230.54296875,187650989562496,NPU:0
Mul,0.5,1783474958551261.8,1783474958551404.2,N/A,142.49,N/A,5198.58251953125,5200.0,5198.58251953125,5198.58642578125,5200.0,5198.58642578125,187650989562496,NPU:0
Mul,4.5,1783474958551270.8,1783474958551808.8,N/A,538.01,N/A,5198.5869140625,5200.0,5198.5869140625,5198.59033203125,5200.0,5198.59033203125,187650989562496,NPU:0
NotEqual,8.5,1783474958551415.5,1783474958621139.8,N/A,69724.26,N/A,5198.5947265625,5200.0,5198.5947265625,5294.583984375,5296.0,5294.583984375,187650989562496,NPU:0
ExpandDimsView,32768.5,1783474958612989.8,N/A,N/A,N/A,N/A,5230.5908203125,5232.0,5230.5908203125,N/A,N/A,N/A,187650989562496,NPU:0
ExpandDimsView,32768.5,1783474958614367.5,1783474958624935.5,N/A,10568.19,N/A,5262.59130859375,5264.0,5262.59130859375,5262.5673828125,5296.0,5262.5673828125,187650989562496,NPU:0
Mul,0.5,1783474958619855.2,1783474958624940.8,N/A,5085.52,N/A,5262.591796875,5264.0,5262.591796875,5262.56689453125,5296.0,5262.56689453125,187650989562496,NPU:0
Mul,32768.5,1783474958621130.5,1783474958627615.8,N/A,6485.4,N/A,5294.59228515625,5296.0,5294.59228515625,5246.56689453125,5296.0,5246.56689453125,187650989562496,NPU:0
ExpandDimsView,16384.5,1783474958627308.8,1783474962313022.0,N/A,3685713.18,N/A,5278.5673828125,5296.0,5278.5673828125,7995.103515625,20454.0,7995.103515625,187650989562496,NPU:0
Empty,7.5,1783474958628401.5,1783474959772667.0,N/A,1144265.42,N/A,5246.57421875,5296.0,5246.57421875,6087.59765625,6306.0,6087.59765625,187650989562496,NPU:0
Empty,10752.5,1783474958738792.0,1783474959772686.5,N/A,1033894.34,N/A,5257.07470703125,5296.0,5257.07470703125,6077.09716796875,6306.0,6077.09716796875,187650989562496,NPU:0
Empty,6.5,1783474958739259.2,1783474959772702.2,N/A,1033443.0,N/A,5257.0810546875,5296.0,5257.0810546875,6077.0908203125,6306.0,6077.0908203125,187650989562496,NPU:0
Empty,9216.5,1783474958739636.8,1783474959772719.5,N/A,1033082.72,N/A,5266.08154296875,5296.0,5266.08154296875,6068.09033203125,6306.0,6068.09033203125,187650989562496,NPU:0
Empty,14784.5,1783474958740005.0,1783474959772734.8,N/A,1032729.68,N/A,5280.51953125,5296.0,5280.51953125,6053.65234375,6306.0,6053.65234375,187650989562496,NPU:0
Empty,2.5,1783474958740356.2,1783474959772749.8,N/A,1032393.59,N/A,5280.52197265625,5296.0,5280.52197265625,6053.64990234375,6306.0,6053.64990234375,187650989562496,NPU:0
Empty,5120.5,1783474958740719.2,1783474959772767.8,N/A,1032048.52,N/A,5285.5224609375,5296.0,5285.5224609375,6048.6494140625,6306.0,6048.6494140625,187650989562496,NPU:0
Empty,7.5,1783474958741064.8,1783474959772782.2,N/A,1031717.56,N/A,5285.52978515625,5296.0,5285.52978515625,6048.64208984375,6306.0,6048.64208984375,187650989562496,NPU:0
Empty,43008.5,1783474958742869.8,1783474959772797.8,N/A,1029928.08,N/A,5327.5302734375,5328.0,5327.5302734375,6006.6416015625,6306.0,6006.6416015625,187650989562496,NPU:0
Empty,21504.5,1783474958744946.8,1783474959772812.8,N/A,1027866.04,N/A,5348.53076171875,5350.0,5348.53076171875,5985.64111328125,6306.0,5985.64111328125,187650989562496,NPU:0
Empty,904960.5,1783474958836255.5,1783474958852607.2,N/A,16351.57,N/A,6232.28125,6234.0,6232.28125,5390.53173828125,6306.0,5390.53173828125,187650989562496,NPU:0
Tile,28672.5,1783474958838911.0,1783474962328629.8,N/A,3489718.69,N/A,6260.28173828125,6262.0,6260.28173828125,8390.97314453125,20454.0,8390.97314453125,187650989562496,NPU:0
Tile,28672.5,1783474958845010.5,1783474958851932.5,N/A,6921.92,N/A,6288.2822265625,6290.0,6288.2822265625,6274.2822265625,6306.0,6274.2822265625,187650989562496,NPU:0
Tile,16385.0,1783474958850868.8,1783474958850892.8,N/A,24.0,N/A,6304.283203125,6306.0,6304.283203125,6288.2822265625,6306.0,6288.2822265625,187650989562496,NPU:0
TransposeExtView,14336.5,1783474958851598.8,1783474961215098.5,N/A,2363499.59,N/A,6302.28271484375,6306.0,6302.28271484375,12454.36474609375,12942.0,12454.36474609375,187650989562496,NPU:0
Arange,16.5,1783474958853024.0,1783474958860682.8,N/A,7658.81,N/A,5390.5478515625,6306.0,5390.5478515625,5390.5478515625,6306.0,5390.5478515625,187650989562496,NPU:0
AddScalar,16.5,1783474958856840.8,1783474958863272.8,N/A,6432.0,N/A,5390.56396484375,6306.0,5390.56396484375,5391.03271484375,6306.0,5391.03271484375,187650989562496,NPU:0
Reshape,0.5,1783474958863044.8,N/A,N/A,N/A,N/A,5390.54833984375,6306.0,5390.54833984375,N/A,N/A,N/A,187650989562496,NPU:0
