Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
Narrow,16.5,1783476920785244.2,1783476929364363.0,N/A,8579118.61,N/A,5198.517578125,5200.0,5198.517578125,5230.5302734375,16102.0,5230.5302734375,187651269066320,NPU:0
Narrow,0.5,1783476920785271.0,1783476920789581.0,N/A,4309.91,N/A,5198.51806640625,5200.0,5198.51806640625,5198.52197265625,5200.0,5198.52197265625,187651269066320,NPU:0
Narrow,4.5,1783476920785284.5,1783476920800890.8,N/A,15606.25,N/A,5198.5224609375,5200.0,5198.5224609375,5198.53369140625,5200.0,5198.53369140625,187651269066320,NPU:0
NotEqual,16.5,1783476920789606.5,1783476920877618.5,N/A,88012.09,N/A,5198.5380859375,5200.0,5198.5380859375,5294.56787109375,5296.0,5294.56787109375,187651269066320,NPU:0
Cast,16.5,1783476920801532.8,1783476929364386.2,N/A,8562853.46,N/A,5198.5498046875,5200.0,5198.5498046875,5230.51416015625,16102.0,5230.51416015625,187651269066320,NPU:0
Cast,16.5,1783476920801550.5,1783476923720031.2,N/A,2918480.57,N/A,5198.56591796875,5200.0,5198.56591796875,11708.61767578125,14080.0,11708.61767578125,187651269066320,NPU:0
Cast,17.0,1783476920806138.2,1783476920806156.2,N/A,18.16,N/A,5198.58251953125,5200.0,5198.58251953125,5198.56591796875,5200.0,5198.56591796875,187651269066320,NPU:0
Mul,16.5,1783476920808779.2,1783476929364333.2,N/A,8555554.03,N/A,5198.58203125,5200.0,5198.58203125,5230.54638671875,16102.0,5230.54638671875,187651269066320,NPU:0
Mul,0.5,1783476920808790.8,1783476920808936.2,N/A,145.34,N/A,5198.58251953125,5200.0,5198.58251953125,5198.58642578125,5200.0,5198.58642578125,187651269066320,NPU:0
Mul,4.5,1783476920808799.2,1783476920809408.2,N/A,608.97,N/A,5198.5869140625,5200.0,5198.5869140625,5198.59033203125,5200.0,5198.59033203125,187651269066320,NPU:0
NotEqual,8.5,1783476920809016.8,1783476920877603.8,N/A,68586.91,N/A,5198.5947265625,5200.0,5198.5947265625,5294.583984375,5296.0,5294.583984375,187651269066320,NPU:0
ExpandDimsView,32768.5,1783476920870116.8,N/A,N/A,N/A,N/A,5230.5908203125,5232.0,5230.5908203125,N/A,N/A,N/A,187651269066320,NPU:0
ExpandDimsView,32768.5,1783476920871513.0,1783476920882321.0,N/A,10808.05,N/A,5262.59130859375,5264.0,5262.59130859375,5262.5673828125,5296.0,5262.5673828125,187651269066320,NPU:0
Mul,0.5,1783476920876263.0,1783476920882325.5,N/A,6062.6,N/A,5262.591796875,5264.0,5262.591796875,5262.56689453125,5296.0,5262.56689453125,187651269066320,NPU:0
Mul,32768.5,1783476920877594.8,1783476920884958.5,N/A,7363.77,N/A,5294.59228515625,5296.0,5294.59228515625,5246.56689453125,5296.0,5246.56689453125,187651269066320,NPU:0
ExpandDimsView,16384.5,1783476920884532.8,1783476924633657.5,N/A,3749124.63,N/A,5278.5673828125,5296.0,5278.5673828125,7995.103515625,16100.0,7995.103515625,187651269066320,NPU:0
Empty,7.5,1783476920885726.5,1783476922062301.2,N/A,1176574.8,N/A,5246.57421875,5296.0,5246.57421875,5902.09521484375,6306.0,5902.09521484375,187651269066320,NPU:0
Empty,10752.5,1783476921025904.8,1783476922062320.8,N/A,1036416.14,N/A,5257.07470703125,5296.0,5257.07470703125,5891.5947265625,6306.0,5891.5947265625,187651269066320,NPU:0
Empty,6.5,1783476921026459.2,1783476922062335.5,N/A,1035876.29,N/A,5257.0810546875,5296.0,5257.0810546875,5891.58837890625,6306.0,5891.58837890625,187651269066320,NPU:0
